"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11582","validate page title and URL","chromium","Wed Sep 10 10:42:10 IST 2025","passed","Wed Sep 10 10:42:22 IST 2025","","00_validate_titleandURL.spec.js","",""
"","3393","test","chromium","Wed Sep 10 10:43:04 IST 2025","passed","Wed Sep 10 10:43:07 IST 2025","","formhandling.spec.js","",""
"","9834","test","firefox","Wed Sep 10 10:46:47 IST 2025","failed","Wed Sep 10 10:46:56 IST 2025","","eg2.spec.js","",""
"","8726","Lab 8: Practice with a Different Domain","chromium","Wed Sep 10 10:44:23 IST 2025","failed","Wed Sep 10 10:44:32 IST 2025","","lab8.spec.js","",""
"","2937","test","chromium","Wed Sep 10 10:42:31 IST 2025","passed","Wed Sep 10 10:42:34 IST 2025","","basic_form_interaction.spec.js","",""
"","15593","Lab 2: Validate page title and URL","firefox","Wed Sep 10 10:47:17 IST 2025","passed","Wed Sep 10 10:47:32 IST 2025","","lab2.spec.js","",""
"","62646","Keyboard interaction demo","firefox","Wed Sep 10 10:46:59 IST 2025","failed","Wed Sep 10 10:48:02 IST 2025","","keyboardClass.spec.js","",""
"","4353","test","firefox","Wed Sep 10 10:46:55 IST 2025","passed","Wed Sep 10 10:46:59 IST 2025","","formhandling.spec.js","",""
"","3691","Lab 7: Navigate and Check Page Content","chromium","Wed Sep 10 10:44:23 IST 2025","passed","Wed Sep 10 10:44:26 IST 2025","","lab7.spec.js","",""
"","1164","drag and drop using locator","webkit","Tue Sep 09 10:32:04 IST 2025","failed","Tue Sep 09 10:32:05 IST 2025","","checking.spec.js","",""
"","76651","test","chromium","Wed Sep 10 10:42:58 IST 2025","failed","Wed Sep 10 10:44:15 IST 2025","","eg2.spec.js","",""
"","1107","Lab 1: First Script & Basic Navigation","chromium","Wed Sep 10 10:44:01 IST 2025","passed","Wed Sep 10 10:44:02 IST 2025","","lab1.spec.js","",""
